zeme,year,co2,population,gdp,primary_energy_consumption,gdp_pc,en_int,co2_int,population_g,gdp_pc_g,en_int_g,co2_int_g,interactions,co2_g
United States,1990,5131.761,253373387.0,9737636593624.97,22609.195,38431.96283919499,2.3218359796669525e-09,0.22697672340833014,,,,,,
United States,1991,5076.413,256471424.0,9727089478755.8,22579.719,37926.601439838385,2.321323253920369e-09,0.2248217969408742,1.2227160226578881,-1.314950791015046,-0.022082772042197885,-0.9494041658092089,-0.01481644083298761,-1.0785381470415523
United States,1992,5178.77,259606021.0,10069725930661.5,22913.111,38788.491468237175,2.2754453455611373e-09,0.22601775900269502,1.2222012694872442,2.2725211215298913,-1.976368792314931,0.5319600137060343,-0.03398830554293131,2.0163253068653075
United States,1993,5279.52,262633229.0,10346824232649.6,23396.387,39396.47801630463,2.26121430826787e-09,0.22565535439296677,1.1660777313019288,1.5674405604696462,-0.6254176713595294,-0.16034342227237985,-0.0023145544230995796,1.9454426437165662
United States,1994,5361.863,265474811.0,10763700132799.0,23824.131,40545.090105738884,2.2133774358320737e-09,0.2250601711348884,1.0819582924900928,2.9155197298572855,-2.1155390827347187,-0.2637576492166338,-0.05851298721694098,1.5596683031790848
United States,1995,5425.837,268205796.0,11052644207040.4,24343.418,41209.565087252624,2.202497207364509e-09,0.22288722972262975,1.028717184019401,1.6388543712218429,-0.49156679251474156,-0.9654935394838526,-0.017381148863648832,1.1931300743790008
United States,1996,5601.094,270860695.0,11469635349338.5,25165.373,42345.14479606759,2.1940865802199534e-09,0.22257146754788812,0.9898738355378356,2.755621677662967,-0.3818677779219404,-0.14166902928202108,0.00808672293881596,3.2300454289356573
United States,1997,5673.144,273468014.0,11979704707077.8,25354.096,43806.60294361812,2.1164207816425054e-09,0.2237565086130462,0.9626051502230615,3.451300390136458,-3.539778205546573,0.5324317075382057,-0.12020319829640913,1.286355844054743
United States,1998,5736.36,276119323.0,12516770844481.1,25513.363,45331.02105455003,2.0383342730325183e-09,0.22483747046596717,0.9695133852107407,3.4798820463068925,-3.689554992433308,0.48309738993574936,-0.1286350720303142,1.1143027569897601
United States,1999,5800.281,278785482.0,13116127034705.4,25965.076,47047.38188161965,1.979629804689765e-09,0.2233877921250837,0.9655821878137738,3.78628318343901,-2.8800216490210917,-0.6447672346958311,-0.11276357830420913,1.1143129092316517
